FP2-F4 ,F4 -C4 ,C4 -P4 ,P4 -O2 ,FP2-F8 ,F8 -T4 ,T4 -T6 ,T6 -O2 ,FP1-F3 ,F3 -C3 ,C3 -P3 ,P3 -O1 ,FP1-F7 ,F7 -T3 ,T3 -T5 ,T5 -O1 ,T6 -A1 ,O1 -A1 ,O2 -A1 
-367,-23,-80,-102,-273,-180,-17,-103,-314,-8,-27,-9,-296,-29,-44,10,7,-7,109
-363,-23,-73,-103,-263,-186,-9,-104,-312,-8,-28,-6,-298,-29,-42,15,-5,-20,98
-354,-22,-71,-101,-248,-191,-4,-105,-303,-13,-29,0,-297,-30,-39,21,-16,-32,89
-339,-21,-74,-97,-227,-193,-3,-108,-291,-17,-30,6,-292,-32,-35,26,-25,-42,82
-319,-21,-77,-96,-203,-195,-4,-111,-281,-20,-29,11,-282,-37,-28,28,-30,-46,81
-296,-21,-78,-99,-177,-196,-5,-115,-272,-23,-24,14,-269,-43,-20,26,-30,-46,84
-270,-19,-78,-103,-153,-193,-8,-116,-262,-24,-15,15,-253,-47,-12,25,-29,-44,87
-243,-17,-76,-109,-131,-185,-11,-118,-250,-24,-4,14,-236,-47,-8,26,-26,-42,91
-218,-13,-71,-116,-113,-175,-11,-119,-235,-25,7,12,-218,-44,-7,29,-21,-36,97
-196,-6,-68,-122,-100,-164,-9,-119,-215,-26,13,12,-199,-40,-12,34,-15,-30,104
-175,1,-67,-122,-89,-153,-4,-117,-191,-28,14,13,-178,-33,-20,41,-10,-26,106
-154,7,-67,-117,-78,-144,3,-114,-163,-28,12,13,-156,-25,-32,46,-5,-22,108
-136,15,-69,-112,-66,-136,11,-111,-134,-27,8,8,-133,-16,-44,47,2,-14,112
-120,26,-72,-108,-53,-131,19,-109,-106,-25,4,2,-111,-7,-52,44,8,-9,117
-103,37,-76,-107,-39,-127,26,-110,-80,-24,2,-1,-91,2,-52,40,15,-9,124
-83,45,-79,-109,-24,-123,33,-113,-56,-22,7,-3,-72,8,-46,36,22,-11,134
-62,50,-78,-115,-7,-119,41,-119,-35,-21,15,-2,-52,11,-33,32,29,-14,148
-40,49,-73,-126,9,-117,48,-130,-17,-18,23,2,-33,13,-19,28,34,-17,163
-14,43,-65,-141,27,-113,54,-145,-5,-15,28,8,-18,14,-6,26,37,-16,182
14,35,-58,-156,46,-107,57,-161,4,-11,31,11,-7,16,1,24,39,-11,199
38,32,-54,-167,64,-100,59,-175,16,-10,30,13,3,22,1,24,37,-5,212
57,33,-54,-174,80,-93,59,-185,30,-10,27,14,13,27,-4,24,34,1,219
76,35,-56,-176,94,-86,59,-188,45,-12,23,13,25,30,-10,24,31,4,219
91,40,-58,-174,107,-81,59,-185,63,-14,22,9,39,32,-15,25,28,3,212
101,49,-60,-171,117,-78,59,-179,82,-17,22,5,55,32,-19,24,24,1,202
107,59,-61,-168,124,-77,60,-171,100,-18,19,0,68,33,-21,22,23,1,194
112,69,-61,-169,130,-76,63,-166,112,-16,14,-1,77,34,-21,20,24,1,190
116,80,-60,-171,136,-74,66,-163,119,-12,11,1,83,39,-22,20,27,1,189
119,91,-60,-170,141,-73,72,-160,121,-9,11,7,86,44,-20,22,29,-1,189
124,96,-58,-168,148,-75,80,-159,119,-6,14,16,88,45,-17,28,32,-2,191
133,94,-54,-165,159,-77,86,-160,114,-3,15,24,90,41,-15,35,32,-5,192
144,87,-52,-160,171,-78,86,-159,108,0,15,29,90,35,-13,40,31,-8,190
156,77,-52,-154,180,-77,82,-158,101,1,14,31,88,28,-10,40,30,-9,187
164,68,-53,-151,184,-76,76,-157,95,0,12,30,81,26,-8,38,29,-9,186
166,62,-55,-149,182,-74,70,-154,90,1,9,27,71,30,-9,35,29,-9,183
163,62,-57,-145,175,-75,69,-147,85,2,10,22,60,37,-12,33,31,-6,178
155,66,-58,-140,167,-78,71,-139,83,1,13,17,51,45,-15,33,35,-4,173
144,73,-58,-136,158,-81,75,-130,82,-2,16,14,44,50,-18,35,37,-2,166
135,80,-57,-133,150,-81,78,-122,82,-3,15,12,42,47,-18,36,37,-1,159
131,84,-57,-132,143,-75,75,-117,82,-3,13,10,43,40,-17,36,36,-1,152
134,85,-58,-133,139,-66,70,-115,82,-3,12,8,46,31,-13,35,32,-5,146
139,84,-58,-134,137,-55,66,-116,79,-2,14,5,45,24,-4,31,24,-12,140
147,82,-58,-137,138,-47,64,-121,73,1,18,2,42,21,5,26,16,-19,136
155,77,-56,-138,142,-43,62,-123,65,4,22,1,36,23,11,23,9,-26,132
162,70,-53,-136,148,-42,59,-121,59,5,25,2,28,28,13,21,4,-30,125
166,62,-48,-133,153,-44,55,-117,53,4,22,6,22,32,15,17,1,-30,118
164,56,-44,-130,155,-45,49,-114,48,2,15,12,17,32,12,16,1,-25,114
156,52,-41,-129,152,-48,44,-111,45,-1,5,19,14,32,4,18,3,-16,113
144,49,-39,-128,148,-52,42,-112,43,-5,-4,25,11,32,-7,23,6,-6,117
133,50,-39,-130,145,-58,42,-116,41,-8,-11,28,9,31,-19,29,10,3,125
122,53,-42,-134,140,-61,42,-121,40,-10,-15,29,8,29,-28,35,14,7,134
115,58,-46,-141,135,-62,41,-127,39,-10,-14,26,8,28,-33,38,18,7,145
114,61,-49,-155,131,-60,38,-137,38,-7,-7,21,11,25,-30,38,22,2,158
117,65,-51,-175,128,-55,33,-150,37,-2,3,15,15,22,-19,35,23,-10,172
119,70,-52,-199,124,-49,31,-168,38,4,14,9,20,19,-4,32,19,-25,187
119,74,-51,-224,119,-42,31,-190,40,12,23,5,24,20,5,31,14,-39,203
117,78,-50,-244,114,-38,35,-211,44,18,26,3,25,26,7,33,6,-51,216
113,80,-47,-254,111,-35,40,-224,48,20,24,4,24,34,2,36,-1,-59,222
111,79,-44,-252,111,-35,48,-230,52,18,17,7,21,42,-6,38,-7,-57,222
113,76,-41,-246,114,-35,56,-233,54,13,9,10,19,44,-13,37,-11,-46,222
118,70,-36,-240,118,-35,64,-236,52,7,3,15,17,40,-15,35,-14,-34,221
124,62,-27,-239,122,-34,70,-238,48,0,1,20,16,33,-12,34,-19,-24,219
131,54,-19,-239,124,-30,73,-239,44,-2,1,24,15,25,-7,33,-23,-19,216
135,49,-13,-237,123,-25,72,-237,41,-1,2,25,16,20,-3,34,-27,-18,209
132,49,-12,-231,118,-22,69,-227,40,2,1,27,16,19,-2,36,-30,-23,197
126,54,-15,-223,114,-21,65,-215,39,5,0,29,14,24,-2,37,-31,-31,184
120,64,-25,-214,112,-24,61,-205,37,10,-3,30,11,31,-2,34,-30,-37,175
115,76,-37,-209,113,-28,59,-199,35,13,-5,28,9,38,-2,28,-30,-39,169
112,89,-49,-209,116,-32,56,-197,35,15,-4,24,6,44,-2,23,-29,-39,167
113,100,-59,-214,119,-36,52,-196,36,16,-1,19,3,48,-4,22,-26,-38,169
114,109,-68,-217,123,-41,49,-193,38,16,-1,13,0,49,-7,23,-21,-35,172
114,116,-75,-217,125,-47,49,-190,42,13,-3,7,0,47,-12,24,-18,-31,171
114,122,-84,-213,125,-52,53,-187,47,9,-8,5,1,42,-16,26,-17,-29,169
114,127,-93,-207,123,-55,58,-184,50,6,-15,8,1,38,-16,27,-19,-33,165
115,130,-102,-201,119,-58,64,-183,48,5,-19,14,1,33,-11,24,-22,-40,160
117,131,-109,-198,112,-58,69,-181,43,6,-20,17,0,27,-2,19,-24,-45,157
117,131,-115,-197,102,-58,71,-178,36,8,-19,18,-1,22,6,17,-22,-49,155
114,131,-119,-196,92,-58,70,-173,30,12,-15,18,0,17,13,16,-17,-49,155
108,131,-121,-194,85,-59,66,-167,26,16,-12,16,2,13,17,14,-11,-46,156
97,134,-123,-190,79,-59,61,-163,25,18,-9,13,6,11,17,14,-6,-40,156
85,141,-127,-187,75,-57,58,-164,27,19,-7,12,11,13,12,15,-7,-37,156
74,153,-136,-184,73,-53,55,-167,30,18,-4,13,14,17,8,17,-11,-37,155
67,171,-149,-183,71,-48,53,-170,32,17,-2,15,14,23,4,20,-17,-40,152
61,195,-165,-183,68,-43,53,-171,31,17,0,16,11,29,-2,25,-23,-43,148
59,218,-182,-183,66,-40,55,-169,29,17,1,15,4,36,-8,29,-28,-45,140
62,238,-197,-180,65,-37,58,-162,27,18,2,12,-2,42,-13,31,-33,-46,129
67,253,-208,-175,67,-37,60,-154,24,20,4,8,-6,46,-17,32,-38,-47,116
71,265,-218,-170,70,-38,62,-145,21,21,6,5,-9,47,-18,33,-39,-46,106
75,272,-228,-164,73,-42,62,-139,18,21,9,4,-8,45,-16,31,-38,-42,101
77,276,-239,-161,75,-48,63,-137,17,21,9,5,-5,41,-13,28,-36,-38,100
73,279,-248,-160,73,-54,62,-138,15,23,8,6,-3,37,-6,24,-33,-33,105
64,280,-254,-162,66,-57,60,-141,14,27,6,4,-2,35,3,15,-28,-27,113
54,279,-253,-164,58,-57,58,-143,12,33,5,-2,-1,36,10,4,-25,-22,118
47,273,-244,-167,51,-54,58,-145,11,38,5,-9,-2,40,12,-4,-27,-22,118
44,266,-231,-167,45,-49,60,-144,11,43,6,-13,-5,49,10,-7,-30,-25,114
46,260,-219,-164,42,-43,62,-138,13,47,5,-14,-5,55,6,-6,-30,-28,108
49,254,-211,-157,43,-41,62,-128,15,49,2,-12,-3,58,-1,0,-27,-31,101
50,248,-209,-149,44,-43,61,-121,17,48,-4,-8,-1,56,-9,7,-23,-31,97
47,242,-213,-138,43,-46,57,-116,21,46,-11,-6,2,50,-15,13,-16,-26,100
39,234,-219,-126,39,-50,52,-113,25,41,-19,-6,3,39,-15,14,-5,-16,107
30,224,-225,-115,34,-55,48,-113,30,31,-23,-8,3,28,-13,12,4,-4,116
22,213,-226,-109,28,-58,47,-116,36,17,-25,-7,1,21,-11,9,8,3,124
17,203,-223,-106,23,-59,47,-120,41,2,-26,-4,-2,17,-9,7,8,7,127
15,197,-216,-104,21,-59,48,-119,45,-7,-27,-1,-6,18,-7,5,5,8,123
15,194,-206,-106,24,-60,48,-116,48,-9,-30,2,-6,19,-6,5,-1,6,114
18,194,-196,-112,29,-59,48,-114,50,-3,-35,6,-3,20,-6,7,-7,1,106
21,195,-187,-118,34,-57,47,-112,50,6,-40,9,1,19,-6,10,-11,-2,101
25,195,-180,-121,36,-54,46,-110,47,16,-45,11,3,20,-7,14,-12,-5,97
29,192,-173,-123,37,-49,46,-109,44,23,-45,13,3,23,-7,16,-16,-10,93
33,186,-166,-125,35,-44,48,-111,41,25,-40,13,0,29,-6,16,-21,-17,89
36,178,-157,-125,33,-41,50,-112,36,24,-31,11,-6,34,-3,15,-27,-23,84
38,167,-150,-122,33,-41,51,-111,28,23,-23,8,-14,38,-1,13,-33,-28,77
41,155,-144,-117,37,-45,52,-110,19,23,-17,5,-20,37,2,10,-40,-30,69
44,143,-141,-113,42,-52,54,-111,10,23,-12,2,-23,33,5,9,-45,-31,65
47,134,-140,-110,48,-58,54,-112,2,22,-9,3,-25,28,6,8,-48,-31,64
48,128,-139,-105,53,-63,53,-111,-4,18,-8,7,-28,26,7,7,-47,-31,63
47,129,-137,-102,56,-64,51,-107,-5,12,-8,10,-30,29,7,4,-44,-31,62
45,134,-132,-102,59,-63,50,-101,-1,9,-8,12,-30,35,8,0,-40,-32,61
41,144,-126,-103,61,-59,48,-94,8,7,-8,13,-29,41,10,-3,-33,-32,60
38,153,-120,-103,61,-54,46,-85,18,6,-7,11,-25,47,12,-5,-25,-32,60
37,160,-117,-103,61,-47,44,-80,28,6,-5,7,-19,51,11,-7,-19,-30,61
40,160,-116,-102,60,-42,44,-79,36,5,-2,1,-13,51,9,-8,-14,-27,65
47,153,-114,-102,60,-39,43,-80,40,2,3,-3,-7,48,10,-9,-8,-24,71
57,141,-112,-104,62,-37,39,-82,43,-4,7,-5,-3,45,11,-12,-2,-21,80
66,130,-110,-108,65,-35,33,-86,45,-9,8,-3,1,44,11,-15,5,-17,90
70,120,-106,-112,66,-33,27,-89,48,-14,6,2,7,44,10,-18,11,-14,99
69,112,-99,-114,66,-28,21,-90,50,-17,3,10,11,47,9,-21,15,-13,105
65,106,-92,-111,61,-19,14,-89,52,-20,1,17,14,51,8,-23,17,-12,105
59,100,-86,-102,55,-10,11,-84,54,-21,0,22,14,54,9,-22,15,-15,98
53,93,-78,-91,47,-5,13,-77,52,-20,1,23,10,55,12,-21,9,-20,86
50,85,-69,-81,41,-4,19,-71,47,-17,3,20,1,58,16,-21,1,-27,71
50,77,-61,-76,38,-6,28,-69,43,-11,4,15,-9,61,21,-22,-9,-36,60
51,73,-57,-76,38,-12,36,-71,39,-4,4,9,-17,65,24,-24,-17,-44,54
50,73,-56,-78,40,-18,42,-74,35,4,3,4,-20,67,25,-27,-20,-47,54
48,76,-57,-81,40,-21,45,-78,32,10,-1,1,-19,67,25,-31,-19,-43,59
46,82,-63,-82,41,-21,44,-80,31,14,-5,0,-17,64,25,-34,-15,-34,64
47,90,-70,-81,41,-20,42,-78,32,17,-9,0,-15,62,25,-32,-10,-25,68
48,97,-77,-81,40,-19,40,-74,36,19,-13,0,-14,63,22,-28,-4,-18,70
50,102,-81,-81,38,-16,38,-71,39,22,-17,1,-15,66,16,-22,-1,-15,70
52,103,-80,-87,36,-12,36,-72,40,24,-18,2,-17,70,10,-14,-1,-19,70
54,101,-74,-97,35,-8,31,-75,41,26,-18,6,-17,72,6,-6,-2,-26,72
54,98,-65,-107,37,-7,29,-79,41,25,-16,11,-15,70,7,-1,-5,-32,74
52,94,-56,-116,39,-6,29,-88,39,21,-14,19,-14,66,13,0,-11,-36,76
50,91,-48,-122,43,-5,30,-97,37,14,-14,29,-15,63,21,-1,-20,-38,77
48,89,-43,-121,49,-6,32,-102,34,8,-14,39,-22,66,26,-2,-25,-36,76
47,87,-42,-115,55,-6,30,-103,31,3,-15,45,-32,73,28,-4,-26,-31,76
46,84,-44,-107,58,-4,24,-100,28,0,-15,48,-42,81,28,-5,-23,-25,76
44,79,-44,-101,58,-3,16,-94,26,0,-15,45,-50,85,23,-2,-16,-21,77
44,71,-44,-99,57,-5,8,-87,24,2,-15,37,-54,87,15,1,-8,-18,79
48,58,-41,-102,55,-10,4,-85,23,5,-15,25,-53,83,7,2,-4,-16,80
53,47,-39,-108,52,-18,4,-86,22,8,-17,14,-49,77,-1,1,-4,-17,81
55,39,-37,-112,49,-25,9,-87,21,11,-20,6,-46,71,-7,1,-6,-19,80
56,35,-36,-111,45,-29,15,-87,19,12,-22,4,-46,69,-10,0,-7,-18,80
57,35,-38,-105,42,-29,21,-85,19,13,-23,5,-46,69,-11,2,-7,-17,78
58,38,-41,-97,41,-26,28,-84,23,13,-21,8,-44,71,-8,4,-7,-17,76
62,44,-42,-91,42,-22,37,-84,29,13,-15,11,-40,72,-1,7,-8,-18,75
71,49,-40,-87,49,-17,44,-82,34,12,-8,11,-37,73,6,8,-10,-20,72
85,52,-38,-86,59,-14,48,-80,37,11,-1,8,-36,73,12,7,-14,-23,65
100,52,-34,-89,68,-12,48,-75,35,9,7,0,-38,71,15,3,-18,-24,57
113,49,-30,-90,74,-9,45,-69,30,5,15,-12,-43,69,14,0,-19,-22,50
118,44,-31,-88,75,-9,38,-61,24,2,20,-24,-49,67,9,-4,-16,-18,44
116,37,-32,-83,71,-11,32,-54,19,2,23,-37,-52,65,2,-8,-12,-14,42
106,30,-32,-80,63,-15,27,-51,15,3,25,-47,-51,64,-4,-12,-7,-11,44
90,28,-30,-78,54,-18,26,-52,14,5,27,-51,-48,64,-7,-14,-2,-11,49
73,33,-30,-76,47,-20,27,-54,15,11,28,-51,-44,67,-7,-14,2,-11,55
58,43,-28,-74,41,-17,30,-55,17,16,29,-49,-43,73,-4,-12,5,-11,60
47,55,-24,-72,37,-11,34,-55,20,18,32,-46,-46,80,0,-9,10,-8,64
45,62,-22,-67,36,-3,39,-54,22,17,36,-44,-49,84,4,-8,15,0,69
50,64,-22,-60,38,6,43,-53,23,16,36,-43,-50,82,8,-8,21,9,74
57,60,-20,-55,40,11,44,-54,22,13,34,-41,-51,76,13,-10,25,18,78
63,50,-19,-54,42,12,44,-58,17,11,29,-38,-49,66,18,-15,29,24,86
65,38,-17,-57,43,11,40,-64,11,12,22,-32,-45,55,19,-16,32,28,96
64,30,-15,-64,43,7,34,-70,7,15,16,-29,-39,48,13,-13,36,30,106
59,26,-14,-74,43,2,27,-74,4,18,10,-29,-38,45,3,-7,42,36,116
56,26,-13,-85,44,-4,22,-78,4,18,7,-32,-41,46,-11,1,50,47,127
57,27,-14,-94,45,-10,19,-77,6,14,6,-37,-47,50,-29,15,57,59,134
63,29,-15,-99,47,-17,21,-73,9,8,7,-40,-54,54,-50,34,60,65,132
72,27,-18,-100,47,-21,23,-68,11,1,8,-43,-62,57,-69,52,60,68,127
81,24,-23,-99,45,-23,25,-64,14,-5,10,-43,-65,59,-83,66,60,65,123
86,20,-28,-95,42,-24,25,-60,21,-10,11,-41,-63,59,-91,76,64,60,123
85,16,-31,-88,39,-23,22,-55,29,-14,7,-37,-58,58,-94,80,72,55,127
81,13,-32,-80,35,-21,19,-51,36,-14,1,-34,-52,56,-94,79,83,55,133
74,13,-34,-70,32,-20,18,-47,40,-12,-5,-33,-49,53,-90,76,92,56,139
67,15,-33,-60,32,-20,20,-43,36,-9,-9,-32,-51,50,-85,73,96,56,139
58,18,-31,-53,30,-22,25,-40,23,-4,-6,-31,-56,46,-81,73,93,52,133
49,19,-28,-48,26,-27,32,-40,4,3,2,-32,-62,42,-76,73,85,45,124
36,18,-27,-48,21,-36,39,-44,-16,9,11,-35,-69,40,-71,70,74,39,118
19,19,-28,-50,12,-47,45,-51,-29,10,19,-37,-75,39,-67,65,66,37,117
1,21,-33,-53,0,-57,49,-57,-34,4,24,-35,-77,40,-64,60,62,35,118
-15,23,-40,-53,-13,-64,51,-59,-32,-4,23,-30,-78,42,-63,57,59,32,118
-28,26,-48,-50,-24,-68,50,-57,-27,-11,17,-24,-79,42,-63,55,57,29,113
-36,30,-53,-46,-33,-69,46,-50,-21,-14,11,-18,-77,39,-60,55,58,26,108
-39,32,-56,-44,-36,-69,39,-42,-16,-13,6,-13,-71,35,-55,55,62,23,103
-41,33,-57,-43,-35,-72,32,-34,-14,-6,5,-11,-66,34,-50,56,68,22,102
-44,33,-56,-45,-32,-79,28,-30,-13,2,6,-13,-63,37,-50,58,74,23,103
-49,31,-53,-50,-29,-89,25,-29,-12,6,9,-17,-62,44,-54,59,78,27,106
-57,25,-50,-58,-30,-102,24,-31,-16,6,12,-21,-68,48,-57,58,79,30,110
-72,18,-47,-65,-40,-114,25,-36,-26,0,12,-23,-81,47,-61,58,75,31,111
-93,8,-46,-66,-59,-124,27,-41,-40,-11,9,-26,-100,40,-64,55,68,33,108
-118,-2,-46,-63,-84,-132,29,-42,-57,-24,4,-30,-122,28,-64,50,60,37,102
-143,-10,-50,-55,-110,-137,32,-43,-74,-34,0,-35,-145,17,-60,44,54,40,96
-163,-13,-57,-44,-133,-142,38,-41,-89,-41,1,-39,-164,11,-56,41,50,38,91
-176,-11,-64,-34,-148,-146,46,-36,-98,-42,5,-41,-175,12,-54,40,47,32,83
-181,-8,-66,-28,-153,-152,52,-30,-103,-38,9,-39,-178,17,-51,40,46,21,76
-180,-8,-64,-27,-148,-160,55,-27,-106,-33,13,-32,-177,25,-48,41,48,9,74
-174,-9,-59,-31,-138,-164,57,-28,-106,-30,16,-24,-171,29,-43,43,48,-1,76
-164,-11,-54,-38,-125,-165,57,-34,-104,-27,19,-18,-163,28,-41,45,47,-5,81
-152,-10,-51,-47,-111,-163,56,-42,-101,-24,20,-15,-154,24,-39,49,46,-5,88
-137,-5,-52,-55,-97,-158,54,-48,-95,-21,21,-16,-147,22,-39,53,46,-5,93
-118,5,-55,-60,-82,-151,51,-46,-83,-18,22,-20,-139,24,-39,56,48,-6,94
-98,17,-57,-64,-68,-143,50,-40,-66,-14,23,-26,-127,28,-39,56,52,-6,91
-78,28,-58,-65,-54,-137,50,-32,-46,-10,22,-28,-113,36,-38,51,58,-8,90
-60,34,-55,-65,-39,-131,51,-26,-26,-10,20,-27,-100,45,-34,46,64,-9,89
-43,34,-49,-65,-26,-125,54,-25,-7,-12,18,-24,-85,50,-29,39,67,-8,92
-25,30,-42,-69,-14,-118,59,-33,9,-10,15,-21,-67,49,-22,32,68,-4,100
-6,25,-38,-73,-1,-113,66,-43,22,-7,10,-15,-48,45,-16,29,68,0,111
14,20,-36,-72,14,-110,71,-48,33,-3,5,-7,-31,41,-11,30,70,5,118
34,15,-34,-65,30,-107,74,-46,43,0,0,2,-17,39,-8,32,72,8,118
52,12,-31,-54,44,-102,76,-40,51,3,0,11,-5,41,-7,35,74,9,113
66,10,-27,-44,56,-94,76,-34,57,4,2,20,4,46,-6,39,74,8,107
75,11,-22,-39,64,-86,76,-30,62,2,8,27,10,50,-4,42,72,6,101
78,14,-17,-41,69,-80,76,-31,66,0,12,30,16,54,-3,43,68,4,98
80,18,-14,-47,72,-76,77,-35,70,0,13,29,21,56,-5,40,65,6,100
81,21,-16,-54,72,-77,79,-42,74,1,10,25,26,55,-7,37,64,9,105
83,24,-21,-61,72,-81,80,-46,78,3,5,18,29,53,-10,31,65,13,111
85,26,-27,-67,70,-85,78,-47,79,5,0,8,28,53,-12,24,70,19,117
87,26,-32,-72,67,-87,75,-46,76,9,-2,-3,23,55,-16,18,76,25,122
88,26,-33,-75,64,-86,71,-42,69,14,0,-15,15,58,-19,14,81,28,123
87,26,-30,-76,61,-83,67,-37,60,18,5,-24,7,60,-19,12,82,29,119
85,26,-25,-73,60,-80,64,-31,47,23,12,-31,-2,61,-18,10,80,28,111
83,25,-21,-67,61,-76,64,-28,34,27,18,-32,-10,62,-14,10,74,23,101
81,26,-20,-61,62,-75,67,-28,21,30,23,-28,-19,64,-10,11,64,13,92
80,27,-22,-57,62,-73,72,-32,10,31,27,-20,-25,65,-4,12,55,4,87
79,28,-23,-58,61,-71,75,-39,3,32,30,-13,-28,63,4,13,50,-3,89
75,29,-21,-61,58,-69,77,-46,1,31,30,-6,-30,62,11,12,49,-7,94
67,28,-16,-64,54,-67,77,-49,2,31,26,-1,-30,62,17,8,49,-7,98
56,26,-8,-63,50,-66,74,-47,6,31,18,1,-28,61,21,2,53,-2,99
43,24,-2,-55,46,-69,71,-39,8,33,8,3,-26,58,24,-4,60,6,98
31,26,-1,-47,42,-74,69,-29,7,34,-3,4,-28,56,23,-9,67,14,95
26,27,-3,-40,41,-81,69,-19,1,34,-13,7,-34,54,18,-10,72,19,91
28,26,-9,-36,39,-88,71,-13,-6,32,-22,10,-42,51,12,-7,75,20,88
33,25,-17,-36,34,-91,72,-10,-13,28,-28,14,-51,48,4,-1,75,18,84
38,24,-21,-40,29,-92,72,-9,-16,24,-32,16,-56,45,-1,3,72,12,80
40,23,-22,-46,24,-90,71,-9,-15,21,-33,18,-54,42,-3,7,67,5,76
42,22,-21,-50,21,-88,68,-7,-15,24,-31,18,-49,38,-3,10,66,0,73
41,23,-21,-51,20,-89,66,-5,-17,28,-25,15,-42,31,0,12,68,-1,72
41,26,-21,-52,23,-89,63,-3,-22,33,-18,12,-36,22,6,11,73,2,75
41,30,-20,-53,27,-89,62,-3,-32,37,-12,8,-34,12,12,11,79,8,81
41,32,-20,-55,32,-88,62,-6,-43,39,-7,6,-37,5,16,11,81,14,87
40,35,-19,-58,35,-87,64,-14,-52,37,-5,7,-44,2,18,10,78,17,91
37,38,-20,-61,37,-87,67,-22,-57,34,-6,8,-51,5,17,7,69,17,91
34,41,-20,-64,39,-89,71,-29,-56,29,-8,5,-57,12,14,2,58,15,87
34,45,-22,-66,40,-91,75,-35,-50,24,-12,3,-61,21,8,-3,47,13,81
36,46,-25,-65,41,-93,81,-38,-44,21,-19,5,-62,27,4,-6,38,10,75
42,43,-26,-63,41,-92,84,-37,-40,21,-28,10,-62,31,1,-7,34,7,70
48,36,-20,-61,42,-89,85,-34,-37,21,-35,18,-64,36,1,-6,38,7,72
53,26,-11,-58,42,-83,84,-32,-39,24,-39,27,-65,38,4,-4,44,8,76
55,18,-1,-53,43,-77,85,-31,-45,30,-38,34,-66,39,9,-1,47,6,78
53,14,10,-49,44,-72,85,-30,-51,38,-31,35,-68,41,14,2,47,-1,76
49,16,20,-49,47,-66,82,-27,-54,45,-21,26,-69,46,17,2,45,-5,72
44,25,25,-52,48,-58,76,-25,-53,53,-12,11,-67,50,18,-2,40,-9,64
41,36,25,-58,48,-50,69,-22,-48,59,-7,-4,-65,54,18,-6,34,-15,55
42,43,23,-66,47,-45,63,-22,-40,61,-3,-17,-63,60,15,-10,31,-19,52
47,47,19,-77,45,-41,56,-25,-33,58,0,-26,-64,68,10,-14,33,-18,57
53,48,13,-85,43,-39,52,-28,-30,54,0,-28,-68,76,5,-18,37,-16,65
59,47,5,-85,42,-39,54,-31,-32,50,-2,-23,-71,79,1,-17,40,-14,70
66,45,-2,-80,42,-40,60,-34,-37,49,-8,-15,-72,77,-2,-12,42,-11,75
71,45,-7,-75,45,-40,67,-36,-42,51,-14,-8,-70,69,-5,-9,46,-3,81
73,48,-11,-69,48,-41,72,-37,-46,54,-21,-5,-65,60,-5,-8,49,5,86
69,52,-14,-62,49,-43,74,-35,-45,55,-26,-4,-58,49,-2,-9,53,11,88
59,56,-16,-59,48,-47,73,-34,-44,54,-28,-6,-53,40,1,-13,56,15,89
47,61,-17,-63,44,-50,65,-31,-42,51,-29,-9,-53,39,2,-17,59,13,89
34,65,-16,-69,37,-50,54,-26,-39,47,-29,-10,-55,43,2,-19,62,9,88
25,67,-17,-73,29,-49,44,-22,-36,44,-31,-10,-60,47,1,-19,64,4,86
20,68,-18,-75,23,-47,38,-19,-34,42,-31,-8,-65,49,1,-16,65,-1,83
21,67,-18,-78,20,-46,36,-19,-30,41,-29,-8,-67,50,0,-11,64,-6,82
27,62,-16,-80,19,-44,39,-22,-26,39,-24,-10,-66,50,-1,-5,60,-10,81
32,58,-14,-79,19,-42,46,-26,-23,35,-18,-12,-65,49,-1,-1,50,-15,76
31,57,-10,-78,17,-41,55,-31,-22,32,-12,-13,-62,48,0,0,37,-22,67
26,57,-2,-78,14,-41,63,-34,-23,32,-6,-15,-59,48,0,-1,23,-28,57
17,57,7,-76,9,-38,69,-35,-27,33,-1,-18,-57,49,-1,-3,11,-30,46
7,59,13,-72,3,-34,72,-34,-32,35,2,-19,-60,53,1,-8,3,-30,36
-1,62,16,-66,-1,-31,72,-29,-36,36,2,-17,-65,60,2,-11,2,-27,31
-3,63,17,-62,-1,-31,69,-23,-38,38,0,-16,-73,68,1,-13,9,-23,32
1,62,14,-61,3,-31,63,-18,-36,40,-3,-19,-79,73,1,-12,19,-18,37
9,61,7,-61,8,-35,58,-15,-31,41,-6,-23,-81,74,0,-12,29,-15,44
16,61,0,-62,13,-42,54,-11,-26,44,-9,-27,-79,72,0,-11,38,-14,48
20,61,-5,-65,18,-50,50,-8,-21,48,-10,-33,-75,67,1,-11,42,-15,49
20,61,-8,-68,19,-55,46,-6,-18,53,-10,-38,-72,64,7,-12,42,-17,48
17,62,-12,-71,16,-58,44,-6,-14,57,-11,-38,-71,63,13,-12,42,-21,48
11,64,-14,-75,10,-59,43,-7,-11,59,-14,-32,-72,67,17,-10,44,-26,50
7,64,-13,-83,4,-58,41,-12,-8,61,-17,-25,-72,72,19,-7,46,-30,57
7,62,-10,-95,1,-55,40,-22,-5,61,-16,-20,-68,75,16,-4,48,-32,70
12,58,-6,-106,1,-50,41,-33,-4,56,-14,-17,-62,75,9,1,49,-30,82
20,54,-2,-116,6,-46,42,-46,-6,49,-10,-14,-56,71,-1,5,46,-24,92
30,51,3,-125,15,-40,43,-59,-12,42,-5,-13,-53,68,-9,6,41,-16,99
41,51,5,-131,26,-33,44,-72,-18,37,-1,-15,-54,67,-13,3,32,-6,103
